genes,cidx,yeastvalues_ 1,yeastvalues_ 2,yeastvalues_ 3,yeastvalues_ 4,yeastvalues_ 5,yeastvalues_ 6,yeastvalues_ 7,yeastvalues_ 8,yeastvalues_ 9,yeastvalues_10,yeastvalues_11,yeastvalues_12,yeastvalues_13,yeastvalues_14,yeastvalues_15,yeastvalues_16,yeastvalues_17,yeastvalues_18
YMR001C,13,-0.99,-1.19,-1.33,-1.59,-0.74,0.05,1.01,0.83,1.22,0.7,0.16,-0.21,-0.53,-0.21,0.32,0.7,1.11,0.7
YMR065W,15,2.09,0.61,-0.21,-0.44,-0.13,-0.69,0.11,0.2,0.11,0.11,-0.21,-0.27,-0.39,-0.72,-0.33,-0.13,0.23,0.06
YMR215W,11,-1.44,-1.64,-1.32,-0.84,0.62,0.69,1.48,0.63,0.48,-0.29,-0.8,-0.72,0.14,0.26,1.02,0.8,0.82,0.1
YMR305C,2,1.9,0.82,0.95,0.66,0.86,-0.01,0.11,-0.92,-1.2,-1.7,-0.61,-0.01,0.72,0.45,0.69,-0.47,-0.6,-1.64
YMR307W,11,-1.12,-1.64,-0.41,-0.1,0.44,0.36,0.44,0.15,0.01,-0.64,0.01,0.23,0.54,0.8,0.9,0.88,-0.25,-0.6
YNL030W,11,-2.25,-1.97,-1.74,0.26,1.26,1.4,0.95,0.22,-0.15,-0.97,-0.74,-0.08,1.14,0.96,1.4,0.55,0.11,-0.33
YNL031C,11,-1.71,-1.35,-1.46,0.11,0.94,1.36,0.73,-0.06,-0.25,-0.71,-0.93,0,0.9,1.12,1.07,0.29,0.24,-0.27
YNL036W,5,-1.28,1.81,1.67,1.54,0.89,0.61,0.46,-0.26,-0.08,-0.46,-0.39,-0.87,-0.54,-1,-0.56,-0.63,-0.54,-0.36
YNL058C,16,-0.63,-0.49,-1.14,-1.81,-0.91,-0.75,0.36,1.06,1.53,0.95,0.54,0.09,-0.1,-0.95,-0.25,0.24,1,1.26
YNL102W,8,-0.75,2.01,0.06,0.86,0.5,-0.3,-0.35,-0.33,-0.22,-0.77,0.15,0.6,0.59,-0.04,0.07,-0.66,-0.82,-0.6
YNL145W,9,2.06,1.36,0.59,-0.8,-0.76,-1.8,-1.03,-1.3,0.12,0.87,1.17,0.34,0.44,-0.76,-0.36,-0.98,0.33,0.49
YNL192W,9,2.04,0.88,-0.03,-0.6,-0.36,-0.68,-0.53,-1.26,-1.3,0.62,1.38,0.93,0.37,-0.4,-0.28,-0.46,-0.49,0.16
YNR067C,14,-0.94,-1.06,-1.35,-1.71,-1.35,-1.35,-1.71,-1.2,-1.71,1.5,2.74,2.44,1.9,0.9,0.97,0.65,0.23,1.06
YOL016C,4,1.65,0.64,1.06,0.07,0.29,0,-0.22,-0.24,-0.11,-0.23,-0.44,-0.08,-0.34,-0.31,-0.44,-0.68,-0.35,-0.29
YOR128C,1,-0.27,1.78,0.59,-0.29,-0.57,-0.19,0.17,-0.17,0.13,0.08,-0.37,-0.19,-0.39,-0.21,-0.01,0.13,-0.1,-0.12
YOR247W,11,-1.73,-1.81,-0.29,0.29,1.05,0.56,0.88,-0.23,-0.07,-1.26,-0.51,-0.23,0.8,0.53,1.41,0.83,0.31,-0.54
YOR263C,14,-0.49,-0.33,-0.49,-1.11,0.08,-0.11,-0.53,-0.67,-0.87,0.65,1.64,1.2,0.74,0.23,0.17,0.04,-0.22,0.06
YOR265W,1,-0.08,1.76,-0.04,-0.2,-0.14,0.03,-0.01,0.25,0.2,-0.25,0.11,-0.3,-0.31,-0.59,0,-0.08,0,-0.36
YOR376W,7,0.18,0.31,0.31,0.11,0.35,-0.04,0.04,0.14,-0.02,0.06,-0.15,-0.02,-0.04,-0.09,-0.09,-0.11,-1.63,0.71
YOR382W,13,-2.1,-1.5,-1.32,-0.72,-0.34,-0.01,0.54,0.23,0.62,0.74,0.74,0.37,0.42,0.27,0.66,0.17,0.65,0.57
YOR383C,16,-0.92,-1.39,-0.95,-1.67,-0.23,-1.56,0.51,-0.1,1.02,0.99,0.84,0.64,0.71,0.45,0.51,0.57,-0.71,1.28
YPL061W,5,-0.06,0.92,1.63,1.01,0.32,-0.15,-0.19,-0.01,0.16,0.29,0.62,0.04,-0.53,-1.15,-1.11,-0.89,-0.51,-0.4
YPL127C,11,-1.99,-1.87,-0.32,0.57,0.92,0.99,0.86,0.32,-0.17,-0.63,-0.76,0.04,0.46,0.59,0.42,0.46,0.3,-0.19
YPL156C,9,2.48,-0.17,-1.23,-0.45,-0.36,0.03,-0.01,-0.1,0.04,0.44,-0.02,-0.05,-0.17,-0.12,-0.43,-0.19,0.06,0.27
YPL163C,6,-2.42,-2.15,0.66,1.98,1.55,0.78,0.14,-0.94,-1.03,-1.5,-0.03,1.25,1.61,0.84,0.82,-0.09,-0.48,-0.97
YPL192C,4,2.89,2.39,1.05,-0.18,-0.36,-0.35,-0.29,-0.33,-0.42,-0.45,-0.69,-0.63,-0.5,-0.76,-0.6,-0.71,-0.25,0.21
YPL256C,6,-1.41,-0.69,1.39,1.98,0.74,0.21,-0.36,-1.32,-1.5,-1.07,0.35,1.57,1.1,0.56,0.18,-0.32,-0.38,-1.04
YPR006C,1,-0.06,1.64,0.29,-0.21,0.28,-0.03,0.26,-0.01,0.01,-0.27,-0.18,-0.42,-0.13,-0.61,-0.09,-0.44,-0.12,0.1
YPR149W,16,-1.98,-0.61,-0.08,-0.93,-0.61,-0.88,0.66,0.52,1.44,0.85,0.63,-0.39,-0.14,-0.7,0.24,-0.06,1.15,0.89
YPR156C,16,0.09,-0.68,-0.71,-1.86,-1.07,-0.71,0.55,0.57,1.51,0.89,0.49,-0.09,-0.34,-0.83,0.04,0.12,1.29,0.76
